filename, language, Markdown, Julia, Python, comment, blank, total
c:\Users\Hp\Documents\Projects\UFL_julia\README.md, Markdown, 95, 0, 0, 0, 54, 149
c:\Users\Hp\Documents\Projects\UFL_julia\src\UFL.jl, Julia, 0, 29, 0, 0, 10, 39
c:\Users\Hp\Documents\Projects\UFL_julia\src\_traversal_styles.jl, Julia, 0, 130, 0, 17, 41, 188
c:\Users\Hp\Documents\Projects\UFL_julia\src\algebra.jl, Julia, 0, 148, 0, 2, 44, 194
c:\Users\Hp\Documents\Projects\UFL_julia\src\algebra_lowering.jl, Julia, 0, 34, 0, 0, 10, 44
c:\Users\Hp\Documents\Projects\UFL_julia\src\apply_differentiation.jl, Julia, 0, 140, 0, 3, 50, 193
c:\Users\Hp\Documents\Projects\UFL_julia\src\arguments.jl, Julia, 0, 72, 0, 0, 25, 97
c:\Users\Hp\Documents\Projects\UFL_julia\src\benchmark_accessor_patterns.jl, Julia, 0, 34, 0, 0, 9, 43
c:\Users\Hp\Documents\Projects\UFL_julia\src\benchmark_dag.jl, Julia, 0, 38, 0, 2, 14, 54
c:\Users\Hp\Documents\Projects\UFL_julia\src\benchmark_differentiation.jl, Julia, 0, 27, 0, 0, 11, 38
c:\Users\Hp\Documents\Projects\UFL_julia\src\benchmark_iteration_styles.jl, Julia, 0, 57, 0, 55, 33, 145
c:\Users\Hp\Documents\Projects\UFL_julia\src\cell.jl, Julia, 0, 46, 0, 0, 14, 60
c:\Users\Hp\Documents\Projects\UFL_julia\src\checks.jl, Julia, 0, 15, 0, 0, 4, 19
c:\Users\Hp\Documents\Projects\UFL_julia\src\compound_expressions.jl, Julia, 0, 14, 0, 0, 6, 20
c:\Users\Hp\Documents\Projects\UFL_julia\src\constants.jl, Julia, 0, 16, 0, 1, 6, 23
c:\Users\Hp\Documents\Projects\UFL_julia\src\constantvalue.jl, Julia, 0, 78, 0, 2, 24, 104
c:\Users\Hp\Documents\Projects\UFL_julia\src\corefunctions.jl, Julia, 0, 62, 0, 12, 21, 95
c:\Users\Hp\Documents\Projects\UFL_julia\src\coretypes.jl, Julia, 0, 52, 0, 1, 19, 72
c:\Users\Hp\Documents\Projects\UFL_julia\src\differentiation.jl, Julia, 0, 71, 0, 4, 22, 97
c:\Users\Hp\Documents\Projects\UFL_julia\src\exprcontainers.jl, Julia, 0, 12, 0, 0, 3, 15
c:\Users\Hp\Documents\Projects\UFL_julia\src\fem.jl, Julia, 0, 85, 0, 1, 30, 116
c:\Users\Hp\Documents\Projects\UFL_julia\src\functions.jl, Julia, 0, 29, 0, 3, 7, 39
c:\Users\Hp\Documents\Projects\UFL_julia\src\geometry.jl, Julia, 0, 26, 0, 0, 10, 36
c:\Users\Hp\Documents\Projects\UFL_julia\src\hashing.jl, Julia, 0, 3, 0, 25, 9, 37
c:\Users\Hp\Documents\Projects\UFL_julia\src\indexing.jl, Julia, 0, 115, 0, 4, 38, 157
c:\Users\Hp\Documents\Projects\UFL_julia\src\indices.jl, Julia, 0, 129, 0, 7, 31, 167
c:\Users\Hp\Documents\Projects\UFL_julia\src\integration.jl, Julia, 0, 114, 0, 2, 36, 152
c:\Users\Hp\Documents\Projects\UFL_julia\src\mapdag.jl, Julia, 0, 33, 0, 0, 15, 48
c:\Users\Hp\Documents\Projects\UFL_julia\src\mathfunctions.jl, Julia, 0, 13, 0, 0, 6, 19
c:\Users\Hp\Documents\Projects\UFL_julia\src\mesh.jl, Julia, 0, 24, 0, 7, 6, 37
c:\Users\Hp\Documents\Projects\UFL_julia\src\precedence.jl, Julia, 0, 18, 0, 0, 4, 22
c:\Users\Hp\Documents\Projects\UFL_julia\src\tensoralgebra.jl, Julia, 0, 78, 0, 6, 28, 112
c:\Users\Hp\Documents\Projects\UFL_julia\src\tensors.jl, Julia, 0, 117, 0, 1, 38, 156
c:\Users\Hp\Documents\Projects\UFL_julia\src\traversal.jl, Julia, 0, 56, 0, 2, 18, 76
c:\Users\Hp\Documents\Projects\UFL_julia\src\uflmacros.jl, Julia, 0, 113, 0, 57, 43, 213
c:\Users\Hp\Documents\Projects\UFL_julia\src\util.jl, Julia, 0, 18, 0, 2, 6, 26
c:\Users\Hp\Documents\Projects\UFL_julia\test.jl, Julia, 0, 16, 0, 0, 6, 22
c:\Users\Hp\Documents\Projects\UFL_julia\test.py, Python, 0, 0, 16, 16, 10, 42
c:\Users\Hp\Documents\Projects\UFL_julia\test\algebra.jl, Julia, 0, 30, 0, 0, 12, 42
c:\Users\Hp\Documents\Projects\UFL_julia\test\algebra_lowering.jl, Julia, 0, 13, 0, 0, 4, 17
c:\Users\Hp\Documents\Projects\UFL_julia\test\constantvalue.jl, Julia, 0, 12, 0, 12, 8, 32
c:\Users\Hp\Documents\Projects\UFL_julia\test\differentiation.jl, Julia, 0, 13, 0, 2, 9, 24
c:\Users\Hp\Documents\Projects\UFL_julia\test\exampleform.jl, Julia, 0, 20, 0, 14, 27, 61
c:\Users\Hp\Documents\Projects\UFL_julia\test\fem.jl, Julia, 0, 19, 0, 0, 10, 29
c:\Users\Hp\Documents\Projects\UFL_julia\test\hashing.jl, Julia, 0, 16, 0, 0, 9, 25
c:\Users\Hp\Documents\Projects\UFL_julia\test\indexing.jl, Julia, 0, 59, 0, 0, 19, 78
c:\Users\Hp\Documents\Projects\UFL_julia\test\indices.jl, Julia, 0, 7, 0, 0, 2, 9
c:\Users\Hp\Documents\Projects\UFL_julia\test\integration.jl, Julia, 0, 29, 0, 0, 12, 41
c:\Users\Hp\Documents\Projects\UFL_julia\test\mapdag.jl, Julia, 0, 15, 0, 0, 7, 22
c:\Users\Hp\Documents\Projects\UFL_julia\test\mesh.jl, Julia, 0, 4, 0, 0, 2, 6
c:\Users\Hp\Documents\Projects\UFL_julia\test\misc.jl, Julia, 0, 7, 0, 0, 4, 11
c:\Users\Hp\Documents\Projects\UFL_julia\test\runtests.jl, Julia, 0, 17, 0, 0, 1, 18
c:\Users\Hp\Documents\Projects\UFL_julia\test\tensoralgebra.jl, Julia, 0, 5, 0, 0, 3, 8
c:\Users\Hp\Documents\Projects\UFL_julia\test\tensors.jl, Julia, 0, 5, 0, 0, 2, 7
c:\Users\Hp\Documents\Projects\UFL_julia\test\traversal.jl, Julia, 0, 33, 0, 0, 8, 41
Total, -, 95, 2366, 16, 260, 900, 3637
